S no,AICTE Id,Institute Name,Institute Type,Address,State,District,City
42,1-44643819697,NICMAR INSTITUTE OF CONSTRUCTION MANAGEMENT AND RESEARCH,Private-Self Financing,"H.NO.7-06, JAGGANGUDA (V), SHAMIRPET (M), ALIABAD (P.O.)",Telangana,RANGAREDDI,JAGGANGUDA (V)
43,1-44645443301,PRIYADARSHINI INSTITUTE OF SCIENCE AND TECHNOLOGY,Private-Self Financing,CHINNAKANJARLA(VILL)PATANCHARUV(MAL)MEDAK(DIS)HYDEREBAD,Telangana,MEDAK,CITY
44,1-44643193135,SANA PG COLLEGE,Private-Self Financing,"VIJAYAWADA ROAD, KODAD",Telangana,NALGONDA,KODAD
45,1-44639741524,BHAAVYA TECHNICAL INSTITUTE,Private-Self Financing,"KHASRA NO.829, VILL.-TEHRA, TEHSIL-KHERAGARH, DISTT.-AGRA",Uttar Pradesh,AGRA,KHERAGARH
46,1-44642683945,DR. K.N. MODI ENGINEERING COLLEGE,Private-Self Financing,"HAPUR ROAD, NEAR EYE HOSPITAL MODINAGAR-201204 DISTT. GHAZIABAD.",Uttar Pradesh,GHAZIABAD,MODINAGAR
47,1-44644442071,FUTURE INSTITUTE OF MANAGEMENT STUDIES,Private-Self Financing,"18 TH MILESTONE, NH 24 BAREILLY-LUCKNOW HIGHWAY, FARIDPUR, BAREILLY",Uttar Pradesh,BAREILLY,BAREILLY
48,1-44642670035,INDUS INSTITUTE OF TECHNOLOGY & MANAGEMENT,Private-Self Financing,"KAKWAN ROAD, VILL : BARAULI, TEHSIL : BILHAUR DISTT: KANPUR NAGAR (U.P.)",Uttar Pradesh,KANPUR NAGAR,BILHAUR
49,1-44644045128,KANPUR INSTITUTE OF HIGHER EDUCATION,Private-Self Financing,"A-1, UPSIDC INDUSTRIAL AREA, ROOMA",Uttar Pradesh,KANPUR NAGAR,KANPUR NAGAR
50,1-44644213195,KASHI INSTITUTE OF MANAGEMENT AND SCIENCE,Private-Self Financing,"23 KM MILESTONE, VARANASI-PRAYAGRAJ HIGHWAY, MIRZAMURAD, VARANASI",Uttar Pradesh,VARANASI,MIRZAMURAD
51,1-4409260088,KRISHNA COLLEGE OF MANAGEMENT,Private-Self Financing,VILLAGE KAMALPUR P.O. CHHUTMALPUR DISTT. SAHARANPUR UTTAR PRADESH,Uttar Pradesh,SAHARANPUR,KAMALPUR
52,1-44639407772,LAL BAHADUR SHASTRI INSTITUTE OF MANAGEMENT AND TECHNOLOGY BAREILLY,Private-Self Financing,"LAL BAHADUR SHASTRI INSITUTE OF MGMT & TECHNOLOGY VILLAGE RAJPURI NAVADA 13 KM BAREILLY BISALPUR ROAD TEHSIL BAREILLY , BAREILLY .U.P. 243001",Uttar Pradesh,BAREILLY,BAREILLY
53,1-44672347148,NSS COLLEGE OF MANAGEMENT,Private-Self Financing,CHHAULY BALDEO MATHURA,Uttar Pradesh,MATHURA,MATHURA
54,1-44643888348,VIDYA INSTITUTE OF CREATIVE TEACHING,Private-Self Financing,"VIDYA KNOWLEDGE PARK, BAGHPAT ROAD, MEERUT",Uttar Pradesh,MEERUT,MEERUT
55,1-44642261878,VIDYA INSTITUTE OF FASHION TECHNOLOGY,Private-Self Financing,"VIDYA KNOWLEDGE PARK BAGHPAT ROAD MEERUT ,UTTAR PRADESH-250005",Uttar Pradesh,MEERUT,MEERUT
56,1-44643308443,VIDYA INTERNATIONAL SCHOOL OF BUSINESS,Private-Self Financing,VIDYA KNOWLEDGE PARK BAGHPAT RAOD MEERUT UTTAR PRADESH -25005,Uttar Pradesh,MEERUT,MEERUT
57,1-44644917785,JBIT COLLEGE OF APPLIED SCIENCES,Private-Self Financing,"NH-72, VILLAGE SHANKERPUR, CHAKRATA ROAD, DEHRADUN",Uttarakhand,DEHRADUN,DEHRADUN
58,1-44638773103,INSPIRIA KNOWLEDGE CAMPUS,Private-Self Financing,"HIMACHAL VIHAR PHASE-II, MATIGARA",West Bengal,DARJEELING,SILIGURI
